ref,current_form,preferred_form,match_text,replacement_text,reason,status,notes
2 Chronicles 25:18,Iōas,Joash,,,Context identifies Joash,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 25:21,Iōas,Joash,,,Context identifies Joash,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 25:23,Iōas,Joash,,,Context identifies Joash,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 25:25,Iōas,Joash,,,Context identifies Joash,done,applied 2026-04-21T06:46:07-05:00
2 Kings 18:18,Iōas,Joah,,,Context identifies Joah son of Asaph,done,applied 2026-04-21T06:46:07-05:00
2 Kings 18:26,Iōas,Joah,,,Context identifies Joah son of Asaph,done,applied 2026-04-21T06:46:07-05:00
2 Kings 18:37,Iōas,Joah,,,Context identifies Joah son of Asaph,done,applied 2026-04-21T06:46:07-05:00
Judges 6:11,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 6:29,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 6:30,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 6:31,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 7:14,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 8:13,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 8:29,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 8:32,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
2 Samuel 8:18,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 11:4,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 11:9,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 11:15,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 11:17,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 12:3,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 12:8,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 12:10,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
1 Chronicles 27:5,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
1 Chronicles 27:34,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 22:11,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:1,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:8,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:11,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:14,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:16,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:18,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:2,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:3,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:6,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:12,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:14,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:15,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:17,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:20,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:22,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:25,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
1 Chronicles 9:10,Iōdae,Jedaiah,,,Priestly list corresponds to Jedaiah,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:10,Iōdae,Joiada,,,Nehemiah priestly genealogy corresponds to Joiada,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:11,Iōdae,Joiada,,,Nehemiah priestly genealogy corresponds to Joiada,done,applied 2026-04-21T06:46:07-05:00
Judges 8:5,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
Judges 8:6,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
Judges 8:8,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
Judges 8:14,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
Judges 8:15,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
Judges 8:16,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 4:17,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
1 Samuel 17:1,Sokchōth,Socoh,,,Judah place context corresponds to Socoh/Shoco,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 11:7,Sokchōth,Socoh,,,Judah place context corresponds to Socoh/Shoco,done,applied 2026-04-21T06:46:07-05:00
1 Kings 21:16,Sokchōth,Socchoth,,,LXX expansion uses Socchoth; remove macron while preserving Greek place form,done,applied 2026-04-21T06:46:07-05:00
1 Samuel 30:30,Bērsabee,Beersheba,,,Place context identifies Beersheba,done,applied 2026-04-21T06:46:07-05:00
2 Samuel 3:10,Bērsabee,Beersheba,,,Place context identifies Beersheba,done,applied 2026-04-21T06:46:07-05:00
2 Samuel 6:19,Bērsabee,Beersheba,,,Place context identifies Beersheba,done,applied 2026-04-21T06:46:07-05:00
1 Kings 19:3,Bērsabee,Beersheba,,,Place context identifies Beersheba,done,applied 2026-04-21T06:46:07-05:00
2 Kings 12:2,Bērsabee,Beersheba,,,Place context identifies Beersheba,done,applied 2026-04-21T06:46:07-05:00
2 Kings 23:8,Bērsabee,Beersheba,,,Place context identifies Beersheba,done,applied 2026-04-21T06:46:07-05:00
2 Samuel 11:3,Bērsabee,Bathsheba,,,Person context identifies Bathsheba,done,applied 2026-04-21T06:46:07-05:00
2 Samuel 12:24,Bērsabee,Bathsheba,,,Person context identifies Bathsheba,done,applied 2026-04-21T06:46:07-05:00
2 Kings 25:23,Iōanan,Johanan,,,Context identifies Johanan son of Kareah,done,applied 2026-04-21T06:46:07-05:00
1 Chronicles 26:3,Iōanan,Jehohanan,,,Context corresponds to Jehohanan,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 17:15,Iōanan,Jehohanan,,,Context corresponds to Jehohanan,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:1,Iōanan,Jehohanan,,,Context corresponds to Jehohanan,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:13,Iōanan,Jehohanan,,,Context corresponds to Jehohanan,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:42,Iōanan,Jehohanan,,,Context corresponds to Jehohanan,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:22,Iōanan,Johanan,,,High-priestly chronology uses Johanan,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:23,Iōanan,Johanan,,,High-priestly chronology uses Johanan,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 36:4,Iōakim,Jehoiakim,,,King of Judah context identifies Jehoiakim,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 36:5,Iōakim,Jehoiakim,,,King of Judah context identifies Jehoiakim,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 36:8,Iōakim,Jehoiakim,,,King of Judah context identifies Jehoiakim,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:10,Iōakim,Joiakim,,,Nehemiah priestly context identifies Joiakim,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:12,Iōakim,Joiakim,,,Nehemiah priestly context identifies Joiakim,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:26,Iōakim,Joiakim,,,Nehemiah priestly context identifies Joiakim,done,applied 2026-04-21T06:46:07-05:00
1 Kings 22:51,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:1,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:3,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:4,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:5,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:9,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:16,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 22:1,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 22:11,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Kings 1:18,Iōram,Joram,,,Israel king/Ahab-house context identifies Joram,done,applied 2026-04-21T06:48:43-05:00
2 Kings 3:1,Iōram,Joram,,,Israel king/Ahab-house context identifies Joram,done,applied 2026-04-21T06:48:43-05:00
2 Kings 3:6,Iōram,Joram,,,Israel king/Ahab-house context identifies Joram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 22:5,Iōram,Joram,,,Israel king/Ahab-house context identifies Joram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 22:7,Iōram,Joram,,,Israel king/Ahab-house context identifies Joram,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 26:25,Iōram,Joram,,,Genealogy context matches Joram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 17:8,Iōram,Jehoram,,,Priestly name context follows MT Jehoram,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 27:22,Iōram,Jeroham,,,Tribal leader context follows MT Jeroham,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 23:1,Iōram,Jeroham,,,Captain-list context follows MT Jeroham,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 9:6,Iiēl,Jeuel,,,Zerahite list follows MT Jeuel,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 11:44,Iiēl,Jehiel,,,Warrior list follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 15:20,Iiēl,Jehiel,,,Musician list follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 15:21,Iiēl,Jeiel,,,Musician list follows MT/Brenton Jeiel,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 23:8,Iiēl,Jehiel,,,Laadan genealogy follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 26:21,Iiēl,Jehieli,,,Laadan/Gershonite genealogy follows MT Jehieli,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 26:22,Iiēl,Jehieli,,,Sons-of-Jehieli line follows MT Jehieli,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 27:32,Iiēl,Jehiel,,,Royal household line follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 29:8,Iiēl,Jehiel,,,Gershonite treasurer context follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:2,Iiēl,Jehiel,,,Jehoshaphat son list follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 26:11,Iiēl,Jeiel,,,Scribe context follows MT/Brenton Jeiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 29:13,Iiēl,Jeiel,,,Elizaphan line follows MT/Brenton Jeiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 29:14,Iiēl,Jehiel,,,Heman line follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 31:13,Iiēl,Jehiel,,,Overseer list follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 35:8,Iiēl,Jehiel,,,Temple ruler list follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 35:9,Iiēl,Jeiel,,,Levite ruler list follows MT/Brenton Jeiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 22:6,Iōram,Joram,And Iōram returned,And Joram returned,Mixed verse: Ahab-house king uses Joram,done,applied 2026-04-21T06:50:07-05:00
2 Chronicles 22:6,Iōram,Jehoram,son of Iōram king of Judah,son of Jehoram king of Judah,Mixed verse: Judah king uses Jehoram,done,applied 2026-04-21T06:50:07-05:00
2 Chronicles 22:6,Iōram,Joram,Iōram son of Ahab,Joram son of Ahab,Mixed verse: Ahab-house king uses Joram,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 15:18,Iiēl,Jehiel,Semiramoth and Iiēl and Ouni,Semiramoth and Jehiel and Ouni,Mixed musician list follows MT for first target,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 15:18,Iiēl,Jeiel,Abdedom and Iiēl and Uzziah,Abdedom and Jeiel and Uzziah,Mixed musician list follows MT for second target,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 16:5,Iiēl,Jeiel,"Zacharias, Iiēl, Semiramoth","Zacharias, Jeiel, Semiramoth",Mixed musician list follows MT for first target,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 16:5,Iiēl,Jehiel,"Semiramoth, Iiēl, Mattathias","Semiramoth, Jehiel, Mattathias",Mixed musician list follows MT for second target,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 16:5,Iiēl,Jeiel,Abdedom and Iiēl with instruments,Abdedom and Jeiel with instruments,Mixed musician list follows MT for third target,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 23:9,Iiēl,Jeiel,Salōmith and Iiēl and Aidan,Salōmith and Jeiel and Aidan,Greek/Brenton name form differs from MT Haziel; normalize Greek form without macron,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 26:14,Iōas,Joas,,,Greek-side name form lacks clear MT equivalent here; normalize spelling without forcing Joash/Jehoash,done,applied 2026-04-21T06:50:52-05:00
