ref,current_form,preferred_form,match_text,replacement_text,reason,status,notes
2 Chronicles 25:18,Iōas,Joash,,,Context identifies Joash,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 25:21,Iōas,Joash,,,Context identifies Joash,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 25:23,Iōas,Joash,,,Context identifies Joash,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 25:25,Iōas,Joash,,,Context identifies Joash,done,applied 2026-04-21T06:46:07-05:00
2 Kings 18:18,Iōas,Joah,,,Context identifies Joah son of Asaph,done,applied 2026-04-21T06:46:07-05:00
2 Kings 18:26,Iōas,Joah,,,Context identifies Joah son of Asaph,done,applied 2026-04-21T06:46:07-05:00
2 Kings 18:37,Iōas,Joah,,,Context identifies Joah son of Asaph,done,applied 2026-04-21T06:46:07-05:00
Judges 6:11,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 6:29,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 6:30,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 6:31,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 7:14,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 8:13,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 8:29,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
Judges 8:32,Jōas,Joash,,,Context identifies Gideon’s father Joash,done,applied 2026-04-21T06:46:07-05:00
2 Samuel 8:18,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 11:4,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 11:9,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 11:15,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 11:17,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 12:3,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 12:8,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Kings 12:10,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
1 Chronicles 27:5,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
1 Chronicles 27:34,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 22:11,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:1,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:8,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:11,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:14,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:16,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:18,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:2,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:3,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:6,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:12,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:14,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:15,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:17,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:20,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:22,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 24:25,Iōdae,Jehoiada,,,Context identifies Jehoiada,done,applied 2026-04-21T06:46:07-05:00
1 Chronicles 9:10,Iōdae,Jedaiah,,,Priestly list corresponds to Jedaiah,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:10,Iōdae,Joiada,,,Nehemiah priestly genealogy corresponds to Joiada,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:11,Iōdae,Joiada,,,Nehemiah priestly genealogy corresponds to Joiada,done,applied 2026-04-21T06:46:07-05:00
Judges 8:5,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
Judges 8:6,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
Judges 8:8,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
Judges 8:14,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
Judges 8:15,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
Judges 8:16,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 4:17,Sokchōth,Succoth,,,Context identifies Succoth,done,applied 2026-04-21T06:46:07-05:00
1 Samuel 17:1,Sokchōth,Socoh,,,Judah place context corresponds to Socoh/Shoco,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 11:7,Sokchōth,Socoh,,,Judah place context corresponds to Socoh/Shoco,done,applied 2026-04-21T06:46:07-05:00
1 Kings 21:16,Sokchōth,Socchoth,,,LXX expansion uses Socchoth; remove macron while preserving Greek place form,done,applied 2026-04-21T06:46:07-05:00
1 Samuel 30:30,Bērsabee,Beersheba,,,Place context identifies Beersheba,done,applied 2026-04-21T06:46:07-05:00
2 Samuel 3:10,Bērsabee,Beersheba,,,Place context identifies Beersheba,done,applied 2026-04-21T06:46:07-05:00
2 Samuel 6:19,Bērsabee,Beersheba,,,Place context identifies Beersheba,done,applied 2026-04-21T06:46:07-05:00
1 Kings 19:3,Bērsabee,Beersheba,,,Place context identifies Beersheba,done,applied 2026-04-21T06:46:07-05:00
2 Kings 12:2,Bērsabee,Beersheba,,,Place context identifies Beersheba,done,applied 2026-04-21T06:46:07-05:00
2 Kings 23:8,Bērsabee,Beersheba,,,Place context identifies Beersheba,done,applied 2026-04-21T06:46:07-05:00
2 Samuel 11:3,Bērsabee,Bathsheba,,,Person context identifies Bathsheba,done,applied 2026-04-21T06:46:07-05:00
2 Samuel 12:24,Bērsabee,Bathsheba,,,Person context identifies Bathsheba,done,applied 2026-04-21T06:46:07-05:00
2 Kings 25:23,Iōanan,Johanan,,,Context identifies Johanan son of Kareah,done,applied 2026-04-21T06:46:07-05:00
1 Chronicles 26:3,Iōanan,Jehohanan,,,Context corresponds to Jehohanan,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 17:15,Iōanan,Jehohanan,,,Context corresponds to Jehohanan,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 23:1,Iōanan,Jehohanan,,,Context corresponds to Jehohanan,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:13,Iōanan,Jehohanan,,,Context corresponds to Jehohanan,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:42,Iōanan,Jehohanan,,,Context corresponds to Jehohanan,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:22,Iōanan,Johanan,,,High-priestly chronology uses Johanan,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:23,Iōanan,Johanan,,,High-priestly chronology uses Johanan,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 36:4,Iōakim,Jehoiakim,,,King of Judah context identifies Jehoiakim,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 36:5,Iōakim,Jehoiakim,,,King of Judah context identifies Jehoiakim,done,applied 2026-04-21T06:46:07-05:00
2 Chronicles 36:8,Iōakim,Jehoiakim,,,King of Judah context identifies Jehoiakim,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:10,Iōakim,Joiakim,,,Nehemiah priestly context identifies Joiakim,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:12,Iōakim,Joiakim,,,Nehemiah priestly context identifies Joiakim,done,applied 2026-04-21T06:46:07-05:00
Nehemiah 12:26,Iōakim,Joiakim,,,Nehemiah priestly context identifies Joiakim,done,applied 2026-04-21T06:46:07-05:00
1 Kings 22:51,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:1,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:3,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:4,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:5,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:9,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:16,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 22:1,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 22:11,Iōram,Jehoram,,,Judah king context identifies Jehoram,done,applied 2026-04-21T06:48:43-05:00
2 Kings 1:18,Iōram,Joram,,,Israel king/Ahab-house context identifies Joram,done,applied 2026-04-21T06:48:43-05:00
2 Kings 3:1,Iōram,Joram,,,Israel king/Ahab-house context identifies Joram,done,applied 2026-04-21T06:48:43-05:00
2 Kings 3:6,Iōram,Joram,,,Israel king/Ahab-house context identifies Joram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 22:5,Iōram,Joram,,,Israel king/Ahab-house context identifies Joram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 22:7,Iōram,Joram,,,Israel king/Ahab-house context identifies Joram,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 26:25,Iōram,Joram,,,Genealogy context matches Joram,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 17:8,Iōram,Jehoram,,,Priestly name context follows MT Jehoram,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 27:22,Iōram,Jeroham,,,Tribal leader context follows MT Jeroham,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 23:1,Iōram,Jeroham,,,Captain-list context follows MT Jeroham,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 9:6,Iiēl,Jeuel,,,Zerahite list follows MT Jeuel,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 11:44,Iiēl,Jehiel,,,Warrior list follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 15:20,Iiēl,Jehiel,,,Musician list follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 15:21,Iiēl,Jeiel,,,Musician list follows MT/Brenton Jeiel,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 23:8,Iiēl,Jehiel,,,Laadan genealogy follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 26:21,Jehiel,Jehieli,,,Laadan/Gershonite genealogy follows UKJV Jehieli,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 26:22,Jehiel,Jehieli,,,Sons-of-Jehieli line follows UKJV Jehieli,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 27:32,Iiēl,Jehiel,,,Royal household line follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
1 Chronicles 29:8,Iiēl,Jehiel,,,Gershonite treasurer context follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 21:2,Iiēl,Jehiel,,,Jehoshaphat son list follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 26:11,Iiēl,Jeiel,,,Scribe context follows MT/Brenton Jeiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 29:13,Iiēl,Jeiel,,,Elizaphan line follows MT/Brenton Jeiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 29:14,Iiēl,Jehiel,,,Heman line follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 31:13,Iiēl,Jehiel,,,Overseer list follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 35:8,Iiēl,Jehiel,,,Temple ruler list follows MT Jehiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 35:9,Iiēl,Jeiel,,,Levite ruler list follows MT/Brenton Jeiel,done,applied 2026-04-21T06:48:43-05:00
2 Chronicles 22:6,Iōram,Joram,And Iōram returned,And Joram returned,Mixed verse: Ahab-house king uses Joram,done,applied 2026-04-21T06:50:07-05:00
2 Chronicles 22:6,Iōram,Jehoram,son of Iōram king of Judah,son of Jehoram king of Judah,Mixed verse: Judah king uses Jehoram,done,applied 2026-04-21T06:50:07-05:00
2 Chronicles 22:6,Iōram,Joram,Iōram son of Ahab,Joram son of Ahab,Mixed verse: Ahab-house king uses Joram,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 15:18,Iiēl,Jehiel,Semiramoth and Iiēl and Ouni,Semiramoth and Jehiel and Ouni,Mixed musician list follows MT for first target,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 15:18,Iiēl,Jeiel,Abdedom and Iiēl and Uzziah,Abdedom and Jeiel and Uzziah,Mixed musician list follows MT for second target,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 16:5,Iiēl,Jeiel,"Zacharias, Iiēl, Semiramoth","Zacharias, Jeiel, Semiramoth",Mixed musician list follows MT for first target,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 16:5,Iiēl,Jehiel,"Semiramoth, Iiēl, Mattathias","Semiramoth, Jehiel, Mattathias",Mixed musician list follows MT for second target,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 16:5,Iiēl,Jeiel,Abdedom and Iiēl with instruments,Abdedom and Jeiel with instruments,Mixed musician list follows MT for third target,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 23:9,Iiēl,Jeiel,Salōmith and Iiēl and Aidan,Salōmith and Jeiel and Aidan,Greek/Brenton name form differs from MT Haziel; normalize Greek form without macron,done,applied 2026-04-21T06:50:07-05:00
1 Chronicles 26:14,Iōas,Joas,,,Greek-side name form lacks clear MT equivalent here; normalize spelling without forcing Joash/Jehoash,done,applied 2026-04-21T06:50:52-05:00
1 Samuel 14:49,Melchol,Michal,,,Saul daughter context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
1 Samuel 18:20,Melchol,Michal,,,Saul daughter context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
1 Samuel 18:27,Melchol,Michal,,,Saul daughter context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
1 Samuel 19:11,Melchol,Michal,,,David wife context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
1 Samuel 19:12,Melchol,Michal,,,David wife context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
1 Samuel 19:13,Melchol,Michal,,,David wife context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
1 Samuel 19:17,Melchol,Michal,,,David wife context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
1 Samuel 25:44,Melchol,Michal,,,David wife context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
2 Samuel 3:13,Melchol,Michal,,,David wife context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
2 Samuel 3:14,Melchol,Michal,,,David wife context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
2 Samuel 6:16,Melchol,Michal,,,Saul daughter and David wife context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
2 Samuel 6:20,Melchol,Michal,,,Saul daughter and David wife context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
2 Samuel 6:21,Melchol,Michal,,,Saul daughter and David wife context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
2 Samuel 6:23,Melchol,Michal,,,Saul daughter and David wife context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
1 Chronicles 15:29,Melchol,Michal,,,Saul daughter and David wife context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:13:56-05:00
2 Samuel 8:3,Adraazar,Hadadezer,,,Zobah king in 2 Samuel 8; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
2 Samuel 8:5,Adraazar,Hadadezer,,,Zobah king in 2 Samuel 8; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
2 Samuel 8:7,Adraazar,Hadadezer,,,Zobah king in 2 Samuel 8; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
2 Samuel 8:8,Adraazar,Hadadezer,,,Zobah king in 2 Samuel 8; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
2 Samuel 8:9,Adraazar,Hadadezer,,,Zobah king in 2 Samuel 8; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
2 Samuel 8:10,Adraazar,Hadadezer,,,Zobah king in 2 Samuel 8; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
2 Samuel 8:12,Adraazar,Hadadezer,,,Zobah king in 2 Samuel 8; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
2 Samuel 10:16,Adraazar,Hadarezer,,,Zobah king in 2 Samuel 10; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
2 Samuel 10:19,Adraazar,Hadarezer,,,Zobah king in 2 Samuel 10; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
1 Kings 11:14,Adrazar,Hadadezer,,,Zobah king in LXX Rezon line; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
1 Kings 14:26,Adraazar,Hadadezer,,,David spoil and shield context points to Hadadezer of Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
1 Chronicles 18:3,Adraazar,Hadarezer,,,Zobah king in Chronicles; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
1 Chronicles 18:5,Adraazar,Hadarezer,,,Zobah king in Chronicles; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
1 Chronicles 18:7,Adraazar,Hadarezer,,,Zobah king in Chronicles; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
1 Chronicles 18:8,Adraazar,Hadarezer,,,Zobah king in Chronicles; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
1 Chronicles 18:9,Adraazar,Hadarezer,,,Zobah king in Chronicles; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
1 Chronicles 18:10,Adraazar,Hadarezer,,,Zobah king in Chronicles; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
1 Chronicles 19:16,Adraazar,Hadarezer,,,Zobah king in Chronicles; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
1 Chronicles 19:19,Adraazar,Hadarezer,,,Zobah king in Chronicles; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:24:42-05:00
Joshua 19:28,Raab,Rehob,,,Asher boundary place corresponds to Rehob; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
Joshua 21:31,Raab,Rehob,,,Levitical city corresponds to Rehob; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
2 Samuel 8:3,Raab,Rehob,,,Hadadezer father context corresponds to Rehob; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
2 Samuel 8:12,Raab,Rehob,,,Hadadezer father context corresponds to Rehob; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
1 Samuel 14:47,Souba,Zobah,king Souba,king of Zobah,Saul enemy list identifies Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
2 Samuel 8:3,Souba,Zobah,,,Hadadezer kingdom context identifies Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
2 Samuel 8:5,Souba,Zobah,,,Hadadezer kingdom context identifies Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
2 Samuel 8:7,Souba,Zobah,,,Hadadezer kingdom context identifies Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
2 Samuel 8:12,Souba,Zobah,,,Hadadezer kingdom context identifies Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
2 Samuel 10:8,Souba,Zobah,,,Aramean ally context identifies Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
1 Kings 11:14,Souba,Zobah,,,Hadadezer kingdom context identifies Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
1 Kings 14:26,Souba,Zobah,,,Hadadezer kingdom context identifies Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
1 Chronicles 18:3,Souba,Zobah,,,Hadarezer kingdom context identifies Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
1 Chronicles 18:5,Souba,Zobah,,,Hadarezer kingdom context identifies Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
1 Chronicles 18:9,Souba,Zobah,,,Hadarezer kingdom context identifies Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
1 Chronicles 19:6,Souba,Zobah,,,Aramean ally context identifies Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
2 Chronicles 8:3,Hamathzobah,Hamath-Zobah,,,Solomon campaign place corresponds to Hamath-Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
Psalms 59:2,Soba,Zobah,Syria Soba,Syria of Zobah,Psalm superscription place corresponds to Zobah; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-22T19:35:58-05:00
1 Chronicles 4:19,Idouia,Hodiah,,,Genealogy wife-name context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-23T14:10:00-05:00
1 Chronicles 4:19,Nachem,Naham,,,Genealogy name context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-23T14:10:00-05:00
1 Chronicles 4:19,Esthemoe,Eshtemoa,,,Genealogy place/name context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-23T14:10:00-05:00
1 Chronicles 4:20,Semeion,Shimon,,,Genealogy name context; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-23T14:10:00-05:00
1 Chronicles 4:20,Rana,Rinnah,,,Genealogy name context; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-23T14:10:00-05:00
1 Chronicles 4:20,Zoath,Zoheth,,,Genealogy name context; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-23T14:10:00-05:00
Nehemiah 10:12,Micha,Micah,,,Signer-list context; use standard English equivalent and preserve Greek form in note,done,applied 2026-04-23T14:10:00-05:00
1 Chronicles 4:19,Semeion,Shimon,,,Genealogy name context; use UKJV standard English equivalent and preserve Greek form in note,done,applied 2026-04-23T14:16:49-05:00
Judges 3:15,Jeminite,Benjamite,"Ehud son of Gera, son of the Jeminite","Ehud son of Gera, a Benjamite",Benjamin tribal adjective; use standard English equivalent,done,applied 2026-04-23T16:28:39-05:00
