order,ref,book_name,importance,priority_score,decision_count,footnote_count,keyword_hits,reasons,fresh_translation,brenton_translation,review_status,decision,review_notes
11,Exodus 6:3,Exodus,high,18,1,1,"being, god, lord, name","decisions=1; footnotes=1; importance=high; keywords=being, god, lord, name","And I appeared to Abraham and Isaac and Jacob as their God, but my name, Lord, I did not make known to them.","And I appeared to Abraam and Isaac and Jacob, being their God, but I did not manifest to them my name Lord.",pending,,
12,Genesis 18:19,Genesis,high,18,1,1,"judgment, justice, lord, righteousness","decisions=1; footnotes=1; importance=high; keywords=judgment, justice, lord, righteousness","For I know that he will direct his sons and his household after him, and they will keep the ways of the Lord, to do righteousness and judgment, so that the Lord may bring upon Abraham all that he spoke to him.","For I know that he will order his sons, and his house after him, and they will keep the ways of the Lord, to do justice and judgment, that the Lord may bring upon Abraam all things whatsoever he has spoken to him.",pending,,
13,Genesis 24:27,Genesis,high,18,1,1,"god, lord, righteousness, truth","decisions=1; footnotes=1; importance=high; keywords=god, lord, righteousness, truth","Blessed be the Lord, the God of my lord Abraham, who has not withheld his righteousness and his truth from my lord. And the Lord guided me well to the house of my lord's brother.","and said, Blessed be the Lord the God of my master Abraam, who has not suffered his righteousness to fail, nor his truth from my master, and the Lord has brought me prosperously to the house of the brother of my lord.",pending,,
14,Genesis 32:10,Genesis,high,18,1,0,"god, lord, righteousness, servant, truth","decisions=1; importance=high; keywords=god, lord, righteousness, servant, truth","Let there be enough for me from all the righteousness and from all the truth that you did for your servant, for with this staff I crossed this Jordan, and now I have become two camps.","And Jacob said, God of my father Abraam, and God of my father Isaac, O Lord, thou art he that said to me, Depart quickly to the land of thy birth, and I will do thee good.",pending,,
15,Leviticus 18:21,Leviticus,high,18,1,1,"holy, lord, name, seed","decisions=1; footnotes=1; importance=high; keywords=holy, lord, name, seed","And from your seed you shall not give to serve a ruler, and you shall not profane my holy name. I am the Lord.",And thou shalt not give of thy seed to serve a ruler; and thou shalt not profane my holy name; I am the Lord.,pending,,
16,Leviticus 24:22,Leviticus,high,18,1,1,"god, judgment, lord, righteous","decisions=1; footnotes=1; importance=high; keywords=god, judgment, lord, righteous","One righteous judgment shall be for the newcomer and for the native-born, because I am the Lord your God.","There shall be one judgment for the stranger and the native, for I am the Lord your God.",pending,,
17,Leviticus 2:13,Leviticus,high,18,1,1,"covenant, god, lord, sacrifice","decisions=1; footnotes=1; importance=high; keywords=covenant, god, lord, sacrifice",And every gift of your sacrifice shall be salted with salt. You shall not let the salt of the covenant of the Lord cease from your sacrifices. On every gift of yours you shall bring salt to the Lord your God.,And every gift of your sacrifice shall be seasoned with salt; omit not the salt of the covenant of the Lord from your sacrifices: on every gift of yours ye shall offer salt to the Lord your God.,pending,,
18,Leviticus 3:1,Leviticus,high,18,1,1,"lord, peace, sacrifice, salvation","decisions=1; footnotes=1; importance=high; keywords=lord, peace, sacrifice, salvation","And if his gift to the Lord is a sacrifice of salvation, if he brings it from the cattle, whether male or female, he shall bring it without blemish before the Lord.","And if his gift to the Lord be a peace-offering, if he should bring it of the oxen, whether it be male or whether it be female, he shall bring it unblemished before the Lord.",pending,,
19,Leviticus 4:3,Leviticus,high,18,1,1,"anointed, lord, priest, sin","decisions=1; footnotes=1; importance=high; keywords=anointed, lord, priest, sin","if the anointed high priest sins so as to make the people sin, then he shall bring for his sin that he sinned a calf from the cattle, without blemish, to the Lord for his sin.","if the anointed priest sin so as to cause the people to sin, then shall he bring for his sin, which he has sinned, an unblemished calf of the herd to the Lord for his sin.",pending,,
20,Leviticus 5:15,Leviticus,high,18,1,1,"holy, lord, sin, soul","decisions=1; footnotes=1; importance=high; keywords=holy, lord, sin, soul","If a person is overtaken by forgetfulness and sins unintentionally in the holy things of the Lord, then he shall bring for his trespass to the Lord a ram without blemish from the sheep, valued in silver shekels by the sanctuary shekel, for the thing in which he trespassed.","The soul which shall be really unconscious, and shall sin unwillingly in any of the holy things of the Lord, shall even bring to the Lord for his transgression, a ram of the flock without blemish, valued according to shekels of silver according to the shekel of the sanctuary, for his transgression wherein he transgressed.",pending,,
21,Numbers 18:19,Numbers,high,18,1,1,"covenant, holy, lord, seed","decisions=1; footnotes=1; importance=high; keywords=covenant, holy, lord, seed","All the contributions of the holy things, whatever the sons of Israel remove for the Lord, I have given to you and to your sons and your daughters with you, an everlasting statute. It is a covenant of everlasting salt before the Lord for you and for your seed after you.","Every special offering of the holy things, whatsoever the children of Israel shall specially offer to the Lord, I have given to thee and to thy sons and to thy daughters with thee, a perpetual ordinance: it is a covenant of salt for ever before the Lord, for thee and thy seed after thee.",pending,,
22,Numbers 22:22,Numbers,high,18,1,1,"angel, god, lord, messenger","decisions=1; footnotes=1; importance=high; keywords=angel, god, lord, messenger","And God was enraged in anger because he went, and the messenger of God rose up to oppose him. And he was riding on his donkey, and his two servants were with him.","And God was very angry because he went; and the angel of the Lord rose up to withstand him. Now he had mounted his ass, and his two servants were with him.",pending,,
23,Genesis 1:5,Genesis,high,17,2,1,"day one, god","decisions=2; footnotes=1; importance=high; keywords=day one, god","And God called the light Day, and the darkness he called Night. And evening came, and morning came: day one.","And God called the light Day, and the darkness he called Night, and there was evening and there was morning, the first day.",pending,,
24,1 Kings 16:28,1 Kings,high,16,1,1,"king, lord, name","decisions=1; footnotes=1; importance=high; keywords=king, lord, name","And Ambri slept with his fathers and was buried in Samaria, and Achaab his son reigned in place of him. And in the eleventh year of Ambri, Iosaphat son of Asa reigned, thirty-five years old in his reign, and he reigned twenty-five years in Ierousalem, and his mother's name was Gazouba daughter of Selei. And he walked in the way of Asa his father and did not turn aside from it, doing what was right before the Lord, except the high places they did not remove; they sacrificed on the high places and burned incense. And the rest of the alliances that Iosaphat made and all the dominion that he exercised and those against whom he fought, behold, are these not written in the Book of the Matters of the Days of the kings of Iouda? And the rest of the entanglements that were imposed in the days of Asa his father he removed from the land. And there was no king in Syria, only a deputy. And King Iosaphat made a ship for Tharsis to go to Sophir for gold, and it did not go because the ship was broken at Gasiongaber. Then the king of Israel said to Iosaphat, I will send your servants and my servants in the ship, and Iosaphat was not willing. And Iosaphat slept with his fathers and was buried with his fathers in the City of David, and Ioram his son reigned in place of him.","And Ambri slept with his fathers, and is buried in Samaria; and Achaab his son reigns in his stead.",pending,,
25,1 Kings 2:46,1 Kings,high,16,1,1,"king, peace, priest","decisions=1; footnotes=1; importance=high; keywords=king, peace, priest","And King Solomon commanded Banaias son of Iodae, and he went out and struck him and he died. And King Solomon was very understanding and wise, and Iouda and Israel were exceedingly many, like the sand on the sea in multitude, eating and drinking and rejoicing. And Solomon was ruler over all the kingdoms, and they were bringing gifts and serving Solomon all the days of his life. And Solomon began opening the domains of Lebanon. And he built Thermai in the wilderness. And this was Solomon's provision: thirty cors of fine flour and sixty cors of beaten flour, ten choice calves and twenty pasture-fed cattle and one hundred sheep, besides deer and gazelles and choice fatted birds. For he was ruler over everything beyond the river, from Raphi to Gaza, over all the kings beyond the river. And he had peace from all his sides all around, and Iouda and Israel lived trusting, each under his vine and under his fig tree, eating and drinking, from Dan to Bersabee, all the days of Solomon. And these were the chiefs of Solomon: Azariou son of Sadok the priest, and Orniou son of Nathan, chief of the overseers, and Edram over his house, and Souba secretary, and Basa son of Achithalam recorder, and Abi son of Ioab commander in chief, and Achire son of Edrai over the levies, and Banaia son of Iodae over the court guard and over the brickwork, and Zachour son of Nathan the counselor. And Solomon had forty thousand brood mares for chariots and twelve thousand horsemen. And he was ruler in all the kingdoms from the river to the land of the foreigners and to the borders of Egypt. Solomon son of David reigned over Israel and Iouda in Ierousalem.","And Solomon commanded Banæas the son of Jodae, and he went forth and slew him.",pending,,
26,1 Kings 8:53,1 Kings,high,16,1,1,"god, lord, servant","decisions=1; footnotes=1; importance=high; keywords=god, lord, servant","because you set them apart to yourself for an inheritance from all the peoples of the earth, just as you spoke by the hand of your servant Moyses, when you brought out our fathers from the land of Egypt, O Lord, Lord. Then Solomon spoke concerning the house, as he finished building it: The sun the Lord made known in heaven. He said he would dwell in gloom. Build my house, a splendid house for yourself, for dwelling in newness. Behold, is not this written in the Book of the Song?","Because thou hast set them apart for an inheritance to thyself out of all the nations of the earth, as thou spokest by the hand of thy servant Moses, when thou broughtest our fathers out of the land of Egypt, O Lord God.—",pending,,
27,1 Samuel 30:6,1 Samuel,high,16,1,1,"god, lord, soul","decisions=1; footnotes=1; importance=high; keywords=god, lord, soul","And David was greatly distressed, because the people spoke of stoning him, because the soul of all the people was bitter, each for his sons and for his daughters. And David strengthened himself in the Lord his God.","And David was greatly distressed, because the people spoke of stoning him, because the soul of all the people was grieved, each for his sons and his daughters: but David strengthened himself in the Lord his God.",pending,,
28,2 Kings 1:18,2 Kings,high,16,1,1,"king, lord, sin","decisions=1; footnotes=1; importance=high; keywords=king, lord, sin","And the rest of the matters of Ochozias, what he did, behold, are these not written in the Book of the Matters of the Days of the kings of Israel? And Iōram son of Achaab reigned over Israel in Samaria twelve years, in the eighteenth year of Iosaphat king of Iouda. And he did evil before the Lord, yet not like his brothers nor like his mother. And he removed the pillars of Baal that his father made and shattered them. Yet in the sins of the house of Ieroboam, who made Israel sin, he clung and did not depart from them. And the anger of the Lord was enraged against the house of Achaab.","And the rest of the acts of Ochozias which he did, behold, are they not written in the book of the chronicles of the kings of Israel?",pending,,
29,2 Samuel 23:1,2 Samuel,high,16,1,1,"anointed, god, lord","decisions=1; footnotes=1; importance=high; keywords=anointed, god, lord","And these are the last words of David: Faithful is David son of Iessai, and faithful the man whom the Lord raised up concerning the anointed of the God of Iakob, and beautiful are the psalms of Israel.",And these are the last words of David.,pending,,
30,2 Samuel 24:25,2 Samuel,high,16,1,1,"altar, lord, peace","decisions=1; footnotes=1; importance=high; keywords=altar, lord, peace","And David built there an altar to the Lord and offered whole burnt offerings and peace offerings, and afterward Solomon added to the altar, because it had been small at first. And the Lord listened to the land, and the plague was restrained from over Israel.","And David built there an altar to the Lord, and offered up whole-burnt-offerings and peace-offerings: and Solomon made an addition to the altar afterwards, for it was little at first. And the Lord hearkened to the land, and the plague was stayed from Israel.",pending,,
31,2 Samuel 7:19,2 Samuel,high,16,1,1,"law, lord, servant","decisions=1; footnotes=1; importance=high; keywords=law, lord, servant","And this was made a very small thing before you, my Lord, O Lord, and you spoke concerning the house of your servant for a long way. And this is the law of the human, my Lord, O Lord.","Whereas I was very little before thee, O Lord, my Lord, yet thou spokest concerning the house of thy servant for a long time to come. And is this the law of man, O Lord, my Lord?",pending,,
32,Deuteronomy 3:24,Deuteronomy,high,16,1,1,"god, lord, servant","decisions=1; footnotes=1; importance=high; keywords=god, lord, servant","Lord, Lord, you began to show your servant your strength and your power and your mighty hand and your high arm. For what god is there in heaven or on earth who will do as you did and according to your strength?","Lord God, thou hast begun to shew to thy servant thy strength, and thy power, and thy mighty hand, and thy high arm: for what God is there in heaven or on the earth, who will do as thou hast done, and according to thy might?",pending,,
33,Deuteronomy 5:11,Deuteronomy,high,16,1,1,"god, lord, name","decisions=1; footnotes=1; importance=high; keywords=god, lord, name","You shall not take the name of the Lord your God on emptiness, because the Lord shall certainly not clear the one taking his name on emptiness.","Thou shalt not take the name of the Lord thy God in vain, for the Lord thy God will certainly not acquit him that takes his name in vain.",pending,,
34,Exodus 3:18,Exodus,high,16,1,1,"god, king, sacrifice","decisions=1; footnotes=1; importance=high; keywords=god, king, sacrifice","And they will listen to your voice, and you and the elders of Israel shall go in to Pharaoh king of Egypt, and you shall say to him, 'The God of the Hebrews has summoned us. Let us go then a journey of three days into the wilderness so that we may sacrifice to our God.'","And they shall hearken to thy voice, and thou and the elders of Israel shall go in to Pharao king of Egypt, and thou shalt say to him, The God of the Hebrews has called us; we will go then a journey of three days into the wilderness, that we may sacrifice to our God.",pending,,
35,Exodus 4:11,Exodus,high,16,1,1,"being, god, lord","decisions=1; footnotes=1; importance=high; keywords=being, god, lord","And the Lord said to Moses, 'Who gave a mouth to a human being? And who made one hard of hearing and deaf, seeing and blind? Is it not I, God?'","And the Lord said to Moses, Who has given a mouth to man, and who has made the very hard of hearing, and the deaf, the seeing and the blind? have not I, God?",pending,,
36,Numbers 12:8,Numbers,high,16,1,1,"glory, lord, servant","decisions=1; footnotes=1; importance=high; keywords=glory, lord, servant","Mouth to mouth I will speak to him, in visible form and not by riddles, and he has seen the glory of the Lord. And why were you not afraid to speak against my servant Moses?","I will speak to him mouth to mouth apparently, and not in dark speeches; and he has seen the glory of the Lord; and why were ye not afraid to speak against my servant Moses?",pending,,
37,Numbers 5:18,Numbers,high,16,1,1,"lord, priest, sacrifice","decisions=1; footnotes=1; importance=high; keywords=lord, priest, sacrifice","And the priest shall set the woman before the Lord and uncover the woman's head and put upon her hands the sacrifice of memorial, the sacrifice of jealousy. And in the priest's hand shall be the water of reproof, this cursed water.","And the priest shall cause the woman to stand before the Lord, and shall uncover the head of the woman, and shall put into her hands the sacrifice of memorial, the sacrifice of jealousy; and in the hand of the priest shall be the water of this conviction that brings the curse.",pending,,
38,Numbers 7:89,Numbers,high,16,1,1,"god, lord, mercy","decisions=1; footnotes=1; importance=high; keywords=god, lord, mercy","When Moses entered into the tent of testimony to speak with him, he heard the voice of the Lord speaking to him from above the mercy seat that is upon the ark of testimony, from between the two cherubim, and he spoke to him.","When Moses went into the tabernacle of witness to speak to God, then he heard the voice of the Lord speaking to him from off the mercy-seat, which is upon the ark of the testimony, between the two cherubs; and he spoke to him.",pending,,
39,Numbers 9:13,Numbers,high,16,1,1,"lord, sin, soul","decisions=1; footnotes=1; importance=high; keywords=lord, sin, soul","But the man who is clean and is not on a far journey and yet neglects to keep the Passover, that soul shall be cut off from its people, because he did not bring the Lord's gift at its appointed time. That man shall bear his sin.","And whatsoever man shall be clean, and is not far off on a journey, and shall fail to keep the passover, that soul shall be cut off from his people, because he has not offered the gift to the Lord in its season: that man shall bear his iniquity.",pending,,
40,1 Kings 3:9,1 Kings,high,14,1,1,"righteousness, servant","decisions=1; footnotes=1; importance=high; keywords=righteousness, servant","And you will give your servant a heart that hears and discerns your people in righteousness, to understand between good and evil. For who will be able to judge this heavy people of yours?","Thou shalt give therefore to thy servant a heart to hear and to judge thy people justly, and to discern between good and evil: for who will be able to judge this thy great people?",pending,,
41,1 Samuel 10:6,1 Samuel,high,14,1,1,"lord, spirit","decisions=1; footnotes=1; importance=high; keywords=lord, spirit","And the Spirit of the Lord will rush upon you, and you will prophesy with them, and you will be turned into another man.","And the Spirit of the Lord shall come upon thee, and thou shalt prophesy with them, and shalt be turned into another man.",pending,,
42,1 Samuel 12:17,1 Samuel,high,14,1,1,"king, lord","decisions=1; footnotes=1; importance=high; keywords=king, lord","Is it not wheat harvest today? I will call upon the Lord, and he will give voices and rain, and know and see that your evil is great, which you did before the Lord, asking a king for yourselves.","Is it not wheat-harvest to-day? I will call upon the Lord, and he shall send thunder and rain; and know ye and see, that your wickedness is great which ye have wrought before the Lord, having asked for yourselves a king.",pending,,
43,1 Samuel 15:22,1 Samuel,high,14,1,1,"lord, sacrifice","decisions=1; footnotes=1; importance=high; keywords=lord, sacrifice","And Samouēl said, Is it acceptable to the Lord, whole burnt offerings and sacrifices, as hearing the voice of the Lord? Behold, hearing is better than sacrifice, and listening than the fat of rams.","And Samuel said, Does the Lord take pleasure in whole-burnt-offerings and sacrifices, as in hearing the words of the Lord? behold, obedience is better than a good sacrifice, and hearkening than the fat of rams.",pending,,
44,2 Samuel 12:13,2 Samuel,high,14,1,1,"lord, sin","decisions=1; footnotes=1; importance=high; keywords=lord, sin","And David said to Nathan, I have sinned against the Lord. And Nathan said to David, And the Lord has caused your sin to pass over; you certainly will not die.","And David said to Nathan, I have sinned against the Lord. And Nathan said to David, And the Lord has put away thy sin; thou shalt not die.",pending,,
45,2 Samuel 15:6,2 Samuel,high,14,1,1,"judgment, king","decisions=1; footnotes=1; importance=high; keywords=judgment, king","And Abessalōm did according to this word to all Israel who were coming for judgment to the king, and Abessalōm was stealing the heart of the men of Israel.",And Abessalom did after this manner to all Israel that came to the king for judgment; and Abessalom gained the hearts of the men of Israel.,pending,,
46,Deuteronomy 1:31,Deuteronomy,high,14,1,1,"god, lord","decisions=1; footnotes=1; importance=high; keywords=god, lord","and in this wilderness which you saw, how the Lord your God carried you as someone would carry his son, throughout all the road that you traveled until you came to this place.","and in this wilderness which ye saw, by the way of the mountain of the Amorite; how the Lord thy God will bear thee as a nursling, as if any man should nurse his child, through all the way which ye have gone until ye came to this place.",pending,,
47,Deuteronomy 2:7,Deuteronomy,high,14,1,1,"god, lord","decisions=1; footnotes=1; importance=high; keywords=god, lord","For the Lord our God blessed you in every work of your hands. Know how you passed through that great and fearful wilderness. Behold, forty years the Lord your God is with you. You lacked no thing.","For the Lord our God has blessed thee in every work of thy hands. Consider how thou wentest through that great and terrible wilderness: behold, the Lord thy God has been with thee forty years; thou didst not lack any thing.",pending,,
48,Deuteronomy 4:24,Deuteronomy,high,14,1,1,"god, lord","decisions=1; footnotes=1; importance=high; keywords=god, lord","Because the Lord your God is a consuming fire, a jealous God.","For the Lord thy God is a consuming fire, a jealous God.",pending,,
49,2 Kings 2:9,2 Kings,high,12,1,1,spirit,decisions=1; footnotes=1; importance=high; keywords=spirit,"And it came to be when they crossed over, Elijah said to Elisaie, Ask what I should do for you before I am taken up from you. And Elisaie said, Let a double share of your spirit now be upon me.","And it came to pass while they were crossing over, that Eliu said to Elisaie, Ask what I shall do for thee before I am taken up from thee. And Elisaie said, Let there be, I pray thee, a double portion of thy spirit upon me.",pending,,
